Fixtures,,,,,,,,NIF,Collide,,On
ID,NIF #,Textual Name,X,Y,Z,A,Scale,Collide,Radius,Animate,Ground,Flip,Cave,Unique ID,3D Angle,3D Axis X,3D Axis Y,3D Axis Z,Variation,Primary Tint,Secondary Tint,FarDraw,Interior,Keep Status,Mount,Too Steep
1,503,em_building_house01_destroyed (Instance 1),45910.57,6762.76,4902.61,86,100,2048,0,0,0,0,0,32,1.502498,0.000002,-0.000065,-1.000000,,0,0,0,0,0,0,0
2,492,em_bridge01_small (Instance 0),45205.08,11576.74,4897.01,122,100,2048,0,0,0,0,0,147,2.133185,0.000000,0.000000,-1.000000,,0,0,0,0,0,0,0
3,494,em_building_barn01 (Instance 1),31839.32,42409.75,7029.08,88,100,2048,0,0,0,0,0,150,1.533185,0.000000,0.000000,-1.000000,,0,0,0,0,0,0,0
4,682,em_tree03_var00 (Instance 2),31326.37,36558.96,6641.87,0,114,2048,0,0,0,0,0,158,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
5,682,em_tree03_var00 (Instance 3),32877.03,37012.50,6626.37,0,78,2048,0,0,0,0,0,159,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
6,682,em_tree03_var00 (Instance 4),34108.62,38092.32,6552.42,0,74,2048,0,0,0,0,0,160,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
7,682,em_tree03_var00 (Instance 5),31782.89,37226.41,6656.00,0,72,2048,0,0,0,0,0,161,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
8,682,em_tree03_var00 (Instance 6),29655.58,37185.54,6592.62,0,100,2048,0,0,0,0,0,162,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
9,681,em_tree02_var00 (Instance 13),28377.12,37415.88,6823.33,357,100,2048,0,0,0,0,0,202,0.050001,0.000000,0.000000,1.000000,,0,0,0,0,0,0,0
10,681,em_tree02_var00 (Instance 16),33301.25,41150.71,7005.18,0,100,2048,0,0,0,0,0,205,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
