Grid Nifs,,,Ambient,Merlin Data
NIF,Textual Name,Filename,Only,Shadow,Color,Animate,Collide,Ground,MinAngle,MaxAngle,MinScale,MaxScale,Radius,LOD 1,LOD 2,LOD 3,LOD 4,Ref Height,Ref Width,Unique,Local,Terrain
401,dw_banner_large_01,dw_banner_large_01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
402,dw_banner_large_02,dw_banner_large_02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
403,dw_banner_large_03,dw_banner_large_03.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
404,dw_banner_large_03_ruined,dw_banner_large_03_ruined.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
405,dw_banner_large_04,dw_banner_large_04.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
406,dw_banner_large_04_ruined,dw_banner_large_04_ruined.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
407,dw_banner_medium_01,dw_banner_medium_01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
408,dw_banner_medium_02,dw_banner_medium_02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
409,dw_banner_medium_03,dw_banner_medium_03.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
410,dw_banner_thin_01,dw_banner_thin_01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
411,dw_banner_thin_02,dw_banner_thin_02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
412,dw_banner_thin_03,dw_banner_thin_03.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
413,dw_banner_thin_03_falllen,dw_banner_thin_03_falllen.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
414,dw_barricade_hall_wide,dw_barricade_hall_wide.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
415,dw_cannon01_destroyed,dw_cannon01_destroyed.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
416,dw_cannon01_prop,dw_cannon01_prop.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
417,dw_coalpile01,dw_coalpile01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
418,dw_coalpile02,dw_coalpile02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
419,dw_coalpile03,dw_coalpile03.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
420,dw_crate_ammo01,dw_crate_ammo01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
421,dw_crate_ammo02,dw_crate_ammo02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
422,dw_crate_ammo03,dw_crate_ammo03.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
423,dw_crate_ammo04,dw_crate_ammo04.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
424,dw_crate_ammo05,dw_crate_ammo05.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
425,dw_crate_ammo06,dw_crate_ammo06.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
426,dw_crate_ammo07,dw_crate_ammo07.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
427,dw_dead03,dw_dead03.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
428,dw_dead04,dw_dead04.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
429,dw_dead05,dw_dead05.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
430,dw_gate01_ekrund,dw_gate01_ekrund.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
431,dw_gyrocopter_prop,dw_gyrocopter_prop.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
432,dw_gyrodestroyed,dw_gyrodestroyed.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
433,dw_gyropad01,dw_gyropad01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
434,dw_lantern01,dw_lantern01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
435,dw_mortar,dw_mortar.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
436,dw_mortar_angle60,dw_mortar_angle60.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
437,dw_OrganGun_prop,dw_OrganGun_prop.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
438,dw_prop_barrels01,dw_prop_barrels01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
439,dw_prop_barrels02,dw_prop_barrels02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
440,dw_prop_barrels03,dw_prop_barrels03.nif,0,0,0,0,2048,0,0,360,100,100,0,0,0,0,0,16,16,0,0,0
441,dw_prop_cball_pile01,dw_prop_cball_pile01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
442,dw_prop_chest02,dw_prop_chest02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
443,dw_prop_shovel01,dw_prop_shovel01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
444,dw_prop_table01,dw_prop_table01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
445,dw_prop_wagon01,dw_prop_wagon01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
446,dw_roadside_brazier01,dw_roadside_brazier01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
447,dw_roadwall_barrier01,dw_roadwall_barrier01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
448,dw_roadwall_barrier01_chain,dw_roadwall_barrier01_chain.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
449,dw_RoadWall_BOI,dw_RoadWall_BOI.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
450,dw_RoadWall_BSI,dw_RoadWall_BSI.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
451,dw_RoadWall_EndI,dw_RoadWall_EndI.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
452,dw_RoadWall_EndO,dw_RoadWall_EndO.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
453,dw_RoadWall_Main,dw_RoadWall_Main.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
454,dw_Roadwall_Pillar,dw_Roadwall_Pillar.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
455,dw_ropecoil01,dw_ropecoil01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
456,dw_ruin_fort07,dw_ruin_fort07.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
457,dw_statue01,dw_statue01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
458,dw_statue02,dw_statue02.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
459,dw_statue02_ruined,dw_statue02_ruined.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
460,dw_statue02_ruined01,dw_statue02_ruined01.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
461,dw_statue03_ruined,dw_statue03_ruined.nif,0,0,0,0,2048,0,0,0,100,100,0,0,0,0,0,16,16,0,0,0
